code,code_name,ipoDate,outDate,type,status
of.159671,工银瑞信中证稀有金属主题ETF,2023-02-17,,5,1
of.159672,博时主要消费ETF,2023-03-23,,5,1
of.159673,鹏华沪深300ETF,2023-06-21,,5,1
of.159675,嘉实创业板增强策略ETF,2022-11-24,,5,1
of.159676,富国创业板增强策略ETF,2023-03-23,,5,1
of.159677,银华中证1000增强策略ETF,2022-11-24,,5,1
of.159678,博时中证500增强策略ETF,2023-02-13,,5,1
of.159679,国泰中证1000增强策略ETF,2023-02-09,,5,1
of.159680,招商中证1000增强策略ETF,2022-11-18,,5,1
of.159681,鹏华创业板50ETF,2022-12-21,,5,1
of.159682,景顺长城创业板50ETF,2022-12-23,,5,1
of.159683,嘉实中证内地运输主题ETF,2022-12-29,,5,1
of.159685,天弘中证1000增强策略ETF,2023-03-15,,5,1
of.159686,易方达中证A100ETF,2023-07-11,,5,1
of.159687,南方基金南方东英富时亚太低碳精选ETF(QDII),2022-12-16,,5,1
of.159688,华安恒生互联网科技业ETF(QDII),2023-01-17,,5,1
of.159689,南方中证主要消费ETF,2023-03-03,,5,1
of.159690,招商中证有色金属矿业主题ETF,2023-06-21,,5,1
of.159691,工银瑞信中证港股通高股息精选ETF,2023-03-30,,5,1
of.159692,东财中证证券公司30ETF,2023-05-05,,5,1
of.159693,华泰柏瑞中证有色金属矿业主题ETF,2023-11-30,2024-06-07,5,0
of.159695,嘉实国证通信ETF,2023-04-27,,5,1
of.159696,易方达纳斯达克100ETF(QDII),2023-08-17,,5,1
of.159697,鹏华国证石油天然气ETF,2023-04-17,,5,1
of.159698,鹏华国证粮食产业ETF,2023-07-26,,5,1
of.159699,广发恒生消费(QDII-ETF),2023-08-10,,5,1
of.159701,招商中证物联网主题ETF,2021-12-15,,5,1
of.159702,汇添富中证人工智能主题ETF,2021-04-29,,5,1
of.159703,天弘中证新材料主题ETF,2021-05-27,,5,1
of.159706,华安深证100ETF,2021-12-09,,5,1
of.159707,华宝中证800地产ETF,2021-11-04,,5,1
of.159708,西部利得深证红利ETF,2021-06-18,,5,1
of.159709,工银瑞信深证物联网50ETF,2021-06-18,,5,1
of.159710,建信中证智能电动汽车ETF,2021-07-15,,5,1
of.159711,华夏中证港股通50ETF,2021-12-16,,5,1
of.159712,国泰中证港股通50ETF,2021-10-27,,5,1
of.159713,富国中证稀土产业ETF,2021-08-05,,5,1
of.159715,易方达中证稀土产业ETF,2021-09-01,,5,1
of.159716,华宝深创100ETF,2021-06-18,,5,1
of.159717,鹏华国证ESG300ETF,2021-09-15,,5,1
of.159718,平安中证港股通医药卫生综合ETF,2021-12-16,,5,1
of.159719,平安富时中国国企开放共赢ETF,2021-12-17,,5,1
of.159720,泰康中证智能电动汽车ETF,2021-07-07,,5,1
of.159721,永赢深证创新100ETF,2021-06-17,,5,1
of.159723,汇添富中证沪港深科技龙头ETF,2021-09-27,,5,1
of.159725,工银瑞信中证线上消费ETF,2021-06-11,,5,1
of.159726,华夏恒生中国内地企业高股息率ETF,2021-11-11,,5,1
of.159728,南方国证在线消费ETF,2021-12-29,,5,1
of.159729,汇添富中证沪港深互联网ETF,2021-07-08,,5,1
of.159730,博时国证龙头家电ETF,2021-12-13,,5,1
of.159731,华夏中证石化产业ETF,2021-12-02,,5,1
of.159732,华夏国证消费电子主题ETF,2021-08-12,,5,1
of.159733,景顺长城中证消费电子ETF,2021-09-15,,5,1
of.159735,银华中证港股通消费主题ETF,2021-05-25,,5,1
of.159736,天弘中证食品饮料ETF,2021-09-09,,5,1
